subject_id,subject_name
922,Art Colonial South America
923,Art South America
924,Decoration and ornament Architectural Terminology
925,Architecture New York State Pictorial works
926,Gardens
927,Public architecture
928,Terminals Transportation
929,City planning New York State New York History 19th century
930,Eclecticism in architecture New York State New York
931,Architecture Belgium History
932,Art Belgium History
933,Architecture and climate
934,Architecture Tropical
935,Pavilions China
936,Architecture Australia
937,Architecture Tropical Australia
938,Computer architecture
939,Wright Frank Lloyd 1867 1959 Catalogs
940,Art Technique
941,Painting Early works to 1800
942,Sculpture Early works to 1800
943,Architecture Puerto Rico
944,Architecture Puerto Rico 19th century
945,Architecture Puerto Rico 20th century
946,Architecture Puerto Rico History 19th century
947,Architecture Puerto Rico History 20th century
948,City planning Puerto Rico History 19th century
949,City planning Puerto Rico History 20th century
950,Frick family History
951,Frick Henry Clay 1849 1919 Homes and haunts
952,Interior decoration United States History 19th century
953,Mansions Northeastern States
954,Architecture Details
955,Architecture Philippines
956,Historic buildings Philippines
957,Basilica di San Marco Venice Italy
958,Architectural drawing Technique
959,Color drawing
960,Interior architecture
961,Interior decoration
962,Theosophy
